PUTCALLIND,IMP_VOLT,PERCENTAGE_ERROR,OUTSIDE_THRESHOLD
PUT ,23.35,0.010419436174982871,False
PUT ,23.36,0.00928137868029171,False
PUT ,23.41,0.010377629151436921,False
PUT ,23.5,0.009570017353173482,False
PUT ,23.57,0.01091288874342716,False
CALL,23.72,,False
PUT ,23.86,0.00939762666218266,False
PUT ,23.88,0.007965460644694378,False
PUT ,24.0,0.021401031126333004,False
PUT ,24.19,0.01606141334238438,False
CALL,24.38,,False
PUT ,24.4,0.02179324028393157,False
PUT ,24.86,0.014060113609793128,False
PUT ,25.13,0.009925676270932923,False
CALL,25.2,,False
PUT ,25.37,0.022146685837960478,False
CALL,25.45,,False
CALL,25.67,,False
PUT ,25.78,0.010195051052923858,False
CALL,26.19,,False
PUT ,26.53,0.008340935475395113,False
CALL,26.63,,False
PUT ,26.85,0.009939126501516527,False
CALL,26.9,,False
CALL,27.16,,False
PUT ,27.19,0.020864344360864522,False
PUT ,27.28,0.0074997672400485904,False
PUT ,27.51,0.011611024566348807,False
CALL,27.63,,False
PUT ,27.83,0.013484800116091673,False
CALL,27.84,,False
CALL,28.04,,False
PUT ,28.14,0.010324903979148299,False
CALL,28.21,,False
PUT ,28.43,0.01013448380811324,False
CALL,28.61,,False
CALL,28.76,,False
CALL,28.88,,False
PUT ,29.13,0.010444859731411911,False
CALL,29.27,,False
CALL,29.35,,False
CALL,29.4,,False
CALL,29.78,,False
PUT ,29.8,0.011694270213808592,False
CALL,30.15,,False
PUT ,30.45,0.010604831389294854,False
CALL,30.45,,False
CALL,30.52,,False
PUT ,30.85,0.013956759827880423,False
CALL,31.18,,False
PUT ,31.24,0.010447416762461916,False
CALL,31.38,,False
PUT ,31.46,0.008818174965381084,False
CALL,31.81,,False
PUT ,31.84,0.015071114856996432,False
CALL,32.08,,False
CALL,32.15,,False
PUT ,32.22,0.008883982241257535,False
CALL,32.49,,False
PUT ,32.6,0.010603932369407754,False
CALL,32.71,,False
CALL,32.82,,False
PUT ,32.97,0.021045064777193638,False
CALL,33.03,,False
PUT ,33.34,0.03083503258955081,False
CALL,33.36,,False
CALL,33.68,,False
PUT ,33.71,0.022662208054453393,False
CALL,34.0,,False
PUT ,34.08,0.019320702770589577,False
CALL,34.32,,False
PUT ,34.44,0.01742719049126128,False
CALL,34.49,,False
CALL,34.64,,False
CALL,34.79,,False
PUT ,34.8,0.025127670982108823,False
CALL,34.96,,False
CALL,35.09,,False
PUT ,35.16,0.009147300032883925,False
CALL,35.27,,False
CALL,35.4,,False
CALL,35.45,,False
PUT ,35.52,0.025309098209441612,False
CALL,35.7,,False
PUT ,35.87,0.013944541582843112,False
CALL,36.4,,False
PUT ,36.56,0.026835604613394272,False
PUT ,38.15,0.026962130685037257,False
CALL,38.64,,False
PUT ,39.05,0.03227435127349096,False
CALL,39.27,,False
CALL,39.5,,False
PUT ,39.72,0.030692810609491365,False
PUT ,40.16,0.0069439094163208075,False
CALL,40.22,,False
PUT ,40.6,0.02571023169621822,False
PUT ,40.93,0.03935076917790883,False
CALL,42.11,,False
PUT ,42.13,0.010003297030655774,False
CALL,42.14,,False
CALL,42.6,,False
PUT ,42.77,0.041348516660519544,False
CALL,43.07,,False
PUT ,43.64,0.016008754602280465,False
CALL,44.49,,False
CALL,44.63,,False
CALL,44.95,,False
PUT ,45.79,0.00818574442795749,False
CALL,45.91,,False
CALL,46.87,,False
CALL,47.35,,False
PUT ,47.43,0.012682697220798376,False
CALL,48.32,,False
CALL,49.29,,False
CALL,49.42,,False
CALL,50.29,,False
PUT ,51.09,0.031878893229542446,False
CALL,51.3,,False
CALL,51.7,,False
CALL,51.81,,False
CALL,52.32,,False
CALL,53.31,,False
PUT ,53.52,0.008500365725695808,False
CALL,53.91,,False
CALL,54.33,,False
CALL,57.39,,False
CALL,59.48,,False
CALL,61.53,,False
CALL,63.46,,False
PUT ,67.11,0.007170312951186396,False
CALL,67.59,,False
PUT ,68.11,0.008088176394599137,False
PUT ,71.09,0.008451827739493266,False
PUT ,72.07,0.008450815756578722,False
CALL,72.32,,False
CALL,83.6,,False
CALL,85.14,,False
PUT ,86.42,0.008258668800097856,False
PUT ,88.72,0.007156848659128764,False
PUT ,90.13,0.006973084885820109,False
CALL,90.57,,False
PUT ,92.7,0.013395378096214014,False
PUT ,93.82,0.009724842348594005,False
PUT ,94.76,0.00972466461404661,False
PUT ,95.43,0.009724478216545302,False
PUT ,97.84,0.009724282506790949,False
CALL,105.36,3.4921789661009277,False
CALL,107.54,2.9881642797449146,False
CALL,118.17,1.7829659479663633,False
CALL,130.77,1.191327365079176,False
PUT ,150.5,0.00917267939330035,False
